User_ID,Age_Years,Gender,Body_Mass_KG,Height_CM,Steps,Workout_Minutes,Exercise_Type,Avg_Heart_Rate,Intensity_Score,Calories_Burned,Notes,Calories
35,64.1,Male,62.1,151.8,17763,119,HIIT,129,1,2921.3,High intensity,2923.0
36,61.2,Male,53.1,179.6,16034,74,Swimming,118,6,2611.3,,2610.0
37,20.4,Female,82.5,171.8,10442,72,Swimming,97,8,2424.7,Morning session,2424.0
38,54.1,Male,65.8,160.2,13643,94,Swimming,144,3,2655.2,Morning session,2658.0
39,24.6,Female,109.7,192.5,3301,81,Running,142,7,2401.5,High intensity,2398.0
40,38.1,Male,65.8,166.9,8710,80,Walking,148,7,2489.6,Morning session,2491.0
41,26.1,Female,71.2,185.6,6792,50,Yoga,162,9,2296.3,,2293.0
42,56.2,Female,114.8,162.7,10659,59,Running,127,1,2291.4,Morning session,2295.0
43,35.5,Male,88.2,156.7,8216,117,Walking,145,5,2773.9,,2773.0
44,21.8,Female,72.2,165.5,12712,113,Yoga,128,8,2908.4,High intensity,2906.0
45,42.2,Female,89.2,182.9,5905,113,Yoga,60,3,2243.9,,2245.0
46,31.6,Male,61.0,194.8,16766,39,Cycling,109,5,2295.1,,2294.0
47,26.7,Male,84.5,150.2,6999,47,HIIT,140,1,1874.8,Evening workout,1873.0
48,43.3,Male,47.6,160.9,17983,44,Yoga,132,9,2649.4,,2646.0
49,19.4,Female,110.1,155.4,8288,75,Walking,68,4,2196.2,,2193.0
50,37.1,Female,90.6,169.9,12266,55,Cycling,112,5,2369.6,Good workout,2370.0
51,45.3,Female,74.4,184.8,16586,17,Walking,147,3,2199.4,Good workout,2203.0
52,64.2,Male,113.3,193.2,2567,111,Swimming,69,2,2247.8,,2248.0
53,24.0,Female,53.7,186.9,16110,77,Cycling,143,7,2722.3,,2722.0
54,61.5,Female,55.5,190.5,17082,46,Cycling,140,5,2517.3,,2514.0
55,25.7,Female,113.7,175.8,2094,94,Swimming,136,10,2554.5,Evening workout,2556.0
56,64.2,Female,110.5,161.1,12135,22,Swimming,88,3,2059.0,High intensity,2063.0
57,52.4,Female,75.3,179.1,14508,82,Running,95,2,2446.2,Low effort,2450.0
58,31.4,Female,77.8,177.8,13345,54,HIIT,146,10,2710.5,Low effort,2710.0
59,34.4,Female,83.3,176.3,10684,38,Yoga,86,6,2094.0,Morning session,2099.0
60,53.5,Male,90.9,191.4,7191,50,Cycling,77,10,2272.3,Morning session,2276.0
61,57.1,Male,81.8,168.7,18842,65,Running,77,6,2738.2,Evening workout,2738.0
62,21.8,Male,104.2,154.6,9046,97,Walking,177,3,2683.1,High intensity,2686.0
63,19.6,Female,75.8,154.8,5934,25,Yoga,68,9,1766.1,Morning session,1766.0
64,23.3,Female,55.4,190.6,15038,21,HIIT,126,1,1846.2,Evening workout,1846.0
65,59.8,Male,46.4,176.3,2354,75,Walking,66,3,1569.8,Low effort,1570.0
66,21.2,,71.6,177.0,7473,71,HIIT,117,1,1943.8,High intensity,1942.0
67,46.8,Male,46.2,175.3,13794,28,Walking,138,7,2210.7,Low effort,2215.0
68,35.1,Female,65.2,176.0,3963,39,Running,89,2,1415.0,Evening workout,1417.0
69,43.2,Female,102.7,191.7,15503,25,HIIT,132,4,2345.6,High intensity,2343.0
70,61.6,Male,49.7,170.8,4042,97,Yoga,120,4,2082.3,,2084.0
71,51.5,Male,96.3,150.8,7973,22,Walking,164,8,2244.8,High intensity,2244.0
72,27.3,Male,89.5,177.8,8139,78,Running,150,4,2384.5,Evening workout,2382.0
73,53.0,Male,64.2,164.0,12226,32,HIIT,159,3,2139.3,,2141.0
74,31.6,Male,105.6,166.3,7930,71,Cycling,141,10,2648.6,Low effort,2648.0
75,48.4,Female,82.7,175.5,15762,111,Swimming,154,3,3005.0,High intensity,3000.0
76,32.7,Female,64.6,169.2,19116,40,Swimming,76,5,2305.0,Good workout,2310.0
77,25.6,Female,69.1,174.1,6340,62,Running,177,6,2251.8,Low effort,2255.0
78,31.8,Male,46.4,162.6,6111,26,Walking,112,7,1685.9,Morning session,1681.0
79,40.7,Male,76.2,182.7,4081,58,Yoga,65,5,1748.6,Low effort,1748.0
80,57.6,Male,70.7,174.5,8802,58,Swimming,98,7,2199.4,Morning session,2198.0
81,38.5,Male,114.5,157.8,10462,76,Running,84,4,2406.2,,2406.0
82,33.2,Male,85.7,154.0,16580,35,Running,101,5,2354.3,,2354.0
83,62.0,Male,111.5,155.4,18913,22,Yoga,101,6,2613.2,Good workout,2616.0
84,35.1,Female,45.6,172.5,18465,117,Cycling,118,9,3179.2,,3178.0
85,64.4,Female,95.8,179.5,8994,47,Yoga,161,6,2397.5,Low effort,2401.0
86,41.4,Female,49.3,163.0,4531,31,Cycling,97,10,1824.5,Low effort,1820.0
87,43.8,Female,57.8,172.6,10343,94,Yoga,90,1,2156.4,Morning session,2159.0
88,42.3,Female,63.1,160.5,1716,38,Walking,174,7,1887.1,,1886.0
89,62.1,Male,56.2,180.7,7229,54,Cycling,88,3,1805.4,Evening workout,1808.0
90,58.7,Male,92.3,155.2,17588,55,Yoga,163,6,2880.8,Low effort,2879.0
91,46.1,Male,69.4,160.8,13021,48,Swimming,68,2,1991.4,Evening workout,1987.0
92,32.4,Male,101.2,162.4,12301,78,Running,60,7,2539.0,High intensity,2544.0
93,62.3,Male,79.3,161.6,5094,87,Yoga,139,1,2126.6,Low effort,2125.0
94,18.6,Male,,151.3,10524,91,HIIT,161,2,2340.9,,2341.0
95,42.2,Female,66.9,184.3,11041,77,Running,146,9,2653.9,Low effort,2650.0
96,24.8,Male,101.5,185.2,9103,106,HIIT,131,9,2913.1,Good workout,2910.0
97,26.1,Male,91.4,166.5,19402,48,HIIT,106,7,2737.7,Evening workout,
98,41.3,Male,98.7,177.1,16090,29,HIIT,135,2,2335.0,,2334.0
99,18.3,Male,47.2,177.6,16915,86,Swimming,69,5,2484.2,Evening workout,2483.0
100,61.4,Female,97.5,171.4,9709,109,Walking,75,4,2589.6,Low effort,2585.0
101,25.4,Female,75.6,187.8,2438,118,Walking,106,2,2104.6,,2109.0
102,41.1,Male,113.7,156.2,19436,77,HIIT,102,2,2844.9,High intensity,2840.0
103,28.4,Female,77.3,164.5,16029,44,Cycling,83,10,2578.5,Evening workout,2578.0
104,34.0,Female,116.6,181.4,5517,17,Yoga,162,8,2154.8,Evening workout,2158.0
105,25.4,Male,94.9,160.3,19696,61,HIIT,67,5,2664.1,Low effort,2664.0
106,52.7,Male,60.4,173.8,11905,49,Swimming,134,8,2386.4,Good workout,2388.0
107,52.4,,83.7,152.8,2244,45,Walking,164,2,1760.5,Morning session,1760.0
108,50.8,Male,90.7,179.6,3416,15,,85,2,1377.1,Low effort,1377.0
109,22.0,Male,91.8,155.3,16293,95,HIIT,66,3,2642.0,Good workout,2641.0
110,59.0,Female,88.6,151.0,7490,79,Swimming,138,10,2667.9,,2663.0
111,56.4,Male,53.4,163.5,12683,115,Cycling,74,8,2821.9,High intensity,2817.0
112,58.3,Male,94.5,190.1,6839,109,Cycling,107,8,2711.0,,2712.0
113,45.6,Male,104.7,167.8,15850,82,HIIT,62,3,2602.8,High intensity,2601.0
114,24.6,Female,59.2,193.7,13170,25,Running,75,1,1681.1,,1683.0
115,26.8,Male,80.4,180.3,12967,112,Swimming,138,7,2961.1,Good workout,2963.0
116,25.8,Male,107.2,162.5,6009,55,Yoga,148,4,2141.1,,2145.0
117,29.4,Male,113.7,175.6,18966,68,Walking,156,3,2935.7,Good workout,2938.0
118,51.2,Female,85.5,193.7,15312,47,Walking,73,5,2344.7,,2342.0
119,50.4,Male,118.6,161.8,9924,106,Yoga,147,6,2970.7,Evening workout,2969.0
120,40.4,Male,68.4,167.1,16921,27,Cycling,177,1,2302.7,Morning session,2300.0
121,41.3,Male,93.1,158.4,19811,21,Swimming,134,9,2726.6,Low effort,2724.0
122,54.4,Female,62.1,170.4,6721,63,Yoga,62,6,1910.1,,1913.0
123,52.1,Male,51.8,189.5,9423,100,HIIT,132,3,2391.6,,2391.0
124,61.3,Male,48.1,192.4,5930,56,Swimming,129,1,1745.1,Morning session,1741.0
125,57.5,Male,113.7,173.6,5353,10,Walking,90,9,1929.7,Morning session,1929.0
126,39.8,Female,104.3,183.4,8832,24,Walking,178,2,2069.0,Low effort,2069.0
127,44.6,Male,99.4,157.6,17786,100,Swimming,139,10,3408.5,Evening workout,3408.0
128,52.8,Male,60.4,193.1,17448,89,Walking,134,6,2852.9,Evening workout,2857.0
129,18.3,Male,73.6,182.3,19621,30,Cycling,173,6,2650.5,,2655.0
130,52.8,Female,67.3,172.3,8770,10,Cycling,76,3,1542.5,High intensity,1542.0
131,54.4,Female,58.3,162.7,17556,102,Yoga,108,6,2907.6,Good workout,2911.0
132,64.6,Male,93.2,163.1,16094,76,HIIT,62,2,2491.3,,2496.0
133,31.7,Female,77.4,163.8,8935,21,Yoga,142,8,2087.1,Morning session,2092.0
134,20.3,Female,69.8,165.8,3675,37,Running,147,1,1564.8,,1566.0
135,18.6,Female,65.3,187.8,12240,48,Yoga,114,6,2177.5,Low effort,2179.0
136,22.1,Male,61.1,188.8,5005,46,Yoga,170,1,1751.6,Morning session,1748.0
137,43.8,Male,67.4,175.3,7544,104,Yoga,165,9,2795.7,,2795.0
138,31.4,Female,101.3,175.3,18332,69,HIIT,131,9,3098.3,Good workout,3099.0
139,56.3,Female,102.4,150.5,15388,40,HIIT,172,6,2695.1,Morning session,2692.0
140,44.3,Female,58.3,181.2,15959,67,HIIT,159,6,2709.3,Low effort,2711.0
141,26.3,Male,64.1,164.1,2694,106,Running,99,9,2297.0,Good workout,2294.0
142,32.1,Male,74.8,170.3,15753,106,Walking,125,5,2906.0,Low effort,2905.0
143,32.8,Female,63.7,167.0,17526,113,Walking,146,9,3208.7,Good workout,3207.0
144,43.0,Female,97.1,179.2,7001,20,Swimming,99,5,1813.1,Good workout,1814.0
145,59.1,Female,100.2,162.2,7652,119,HIIT,89,4,2632.0,Evening workout,2636.0
146,30.4,Female,67.8,173.1,15985,38,HIIT,84,2,2060.1,Good workout,2060.0
147,49.3,Male,106.1,179.9,5581,98,Swimming,66,2,2171.7,Low effort,2167.0
148,56.5,Female,77.1,151.0,6087,22,Yoga,151,1,1696.9,,1693.0
149,49.8,Male,62.1,168.6,2460,60,Cycling,164,10,2182.9,Morning session,2186.0
150,21.6,Female,117.1,193.2,4887,117,Yoga,109,3,2480.8,Morning session,2479.0
151,47.8,Female,77.6,174.4,15878,63,Running,140,1,2421.7,Good workout,2423.0
152,54.6,Female,76.7,163.5,9484,28,Running,155,6,2158.6,Morning session,2158.0
153,40.2,Female,105.3,155.7,10835,67,HIIT,60,7,2431.7,Morning session,2434.0
154,56.5,Female,98.1,161.7,16643,45,Swimming,150,9,2907.3,Good workout,2911.0
155,62.0,Male,61.7,169.5,11910,37,Running,103,7,2158.7,,2161.0
156,32.3,Female,63.8,172.2,18221,77,Running,159,4,2785.3,,2782.0
157,60.9,Female,114.5,179.8,6846,12,Swimming,108,4,1818.6,Good workout,1820.0
158,46.3,Female,78.2,179.1,9463,111,Cycling,66,8,2667.8,Morning session,2668.0
159,53.1,Male,69.1,187.0,14336,110,Walking,179,4,2988.4,Morning session,2985.0
160,30.3,Male,112.2,179.7,3369,116,Walking,62,1,2163.0,High intensity,2165.0
161,49.6,Male,118.5,190.6,14992,98,Swimming,153,9,3330.3,Good workout,3334.0
162,24.3,Male,118.1,179.8,1882,50,HIIT,60,3,1648.6,Good workout,1649.0
163,39.6,Female,55.4,185.6,4171,44,Cycling,110,1,1483.7,Morning session,1482.0
164,45.2,Female,60.3,183.5,3040,102,Walking,157,9,2485.3,High intensity,2488.0
165,19.1,Female,105.6,165.3,7372,114,Walking,97,10,2863.6,Good workout,2867.0
166,59.1,Male,51.5,173.3,8562,102,Yoga,102,10,2613.7,Evening workout,2616.0
167,62.6,Female,60.8,163.6,12776,85,Swimming,114,5,2554.0,Morning session,2558.0
168,23.6,Female,60.1,175.3,6900,108,Cycling,116,9,2569.2,,2571.0
169,45.5,Male,84.5,157.2,8965,93,Yoga,112,3,2383.9,Evening workout,2381.0
170,45.5,Male,56.3,163.3,9465,90,Cycling,159,6,2562.1,,2562.0
171,61.0,Male,79.2,180.5,1589,85,HIIT,92,7,2121.1,Evening workout,2122.0
172,61.6,Female,65.0,151.4,6063,59,Swimming,166,5,2126.2,High intensity,2127.0
173,37.6,Female,94.8,153.2,19374,109,Walking,139,8,3411.4,High intensity,3415.0
174,47.7,Male,87.2,150.1,17240,83,,121,10,3139.3,,3143.0
175,28.6,Female,61.3,169.1,2258,91,Swimming,161,6,2163.5,,2161.0
176,45.2,Male,76.2,163.0,14598,39,Walking,70,6,2192.3,High intensity,2195.0
177,42.9,Male,85.8,189.2,3866,81,Cycling,131,7,2295.6,Morning session,2297.0
178,56.4,Female,50.1,174.3,17955,114,Walking,111,8,3139.3,Low effort,3136.0
179,50.1,Male,71.1,174.8,9736,86,Cycling,60,2,2086.3,Low effort,2088.0
180,18.8,Male,64.8,152.6,13704,104,HIIT,73,7,2605.4,,2610.0
181,44.4,Male,69.6,154.7,1637,79,Walking,153,9,2249.8,Evening workout,2246.0
182,30.6,Female,110.9,187.1,5882,63,Walking,144,1,2074.4,Low effort,2078.0
183,58.8,Male,53.3,175.4,16828,80,Swimming,80,1,2319.4,,2318.0
184,20.1,Male,97.4,189.8,4672,94,Cycling,93,7,2324.0,,2327.0
185,56.2,Male,105.5,187.7,13329,111,Cycling,161,5,3133.6,,3131.0
186,23.5,Male,82.4,187.3,15967,116,Cycling,149,1,2915.9,,2916.0
187,25.0,Male,47.9,153.6,5711,60,HIIT,164,1,1804.0,Morning session,1803.0
188,44.2,Male,114.8,156.6,14235,37,Walking,73,2,2203.3,Low effort,2200.0
189,26.1,Male,99.0,179.3,1159,73,Swimming,177,10,2400.6,,2398.0
190,54.6,Female,45.7,179.2,11144,117,Running,99,9,2766.8,,2771.0
191,50.2,Female,114.7,168.1,15793,94,Running,94,3,2840.9,Low effort,2839.0
192,59.9,Male,89.1,188.6,10923,30,Walking,101,9,2304.3,Evening workout,2308.0
193,61.3,Female,91.0,184.7,6938,97,Walking,141,6,2629.6,Good workout,2634.0
194,41.8,Female,70.5,189.4,12354,36,Yoga,79,10,2293.0,Morning session,2293.0
195,,Male,58.2,182.9,10924,36,HIIT,119,6,2048.5,Morning session,2045.0
196,49.1,Female,98.0,182.1,1580,86,Cycling,68,7,2094.7,,2098.0
197,49.6,Male,115.7,163.5,5474,59,Swimming,164,10,2632.9,Low effort,2635.0
198,41.6,Male,90.0,187.3,10941,38,Walking,174,8,2514.1,Low effort,2519.0
199,58.6,Male,75.6,159.2,8073,48,HIIT,168,3,2148.3,,2145.0
200,29.8,Male,103.2,177.9,10662,66,Running,92,8,2513.1,High intensity,2509.0
201,56.7,Male,73.7,163.2,6059,101,Swimming,108,6,2440.4,,2436.0
202,19.4,Female,61.2,185.6,14457,46,Running,127,6,2289.4,,2289.0
203,20.8,Male,58.6,187.8,5328,102,Walking,63,3,1966.5,,1969.0
204,54.6,Female,80.8,165.1,18778,73,HIIT,107,6,2864.3,,2869.0
205,34.6,Male,102.4,170.4,1921,57,HIIT,75,8,1933.6,,1937.0
206,19.4,Male,68.8,177.0,3773,31,Running,106,7,1669.2,High intensity,1669.0
207,19.6,Male,107.8,182.7,5462,109,Walking,85,10,2645.4,Evening workout,2647.0
208,45.4,Female,69.4,155.3,7733,39,Cycling,129,10,2227.1,High intensity,2230.0
209,40.6,Male,103.6,190.4,12774,37,Cycling,96,7,2312.6,Good workout,2316.0
210,54.2,Male,76.1,164.3,10310,32,Running,81,3,1857.8,Good workout,1856.0
211,49.2,Male,62.6,193.0,2865,106,Swimming,165,10,2576.3,Morning session,2578.0
212,50.6,Male,81.8,152.2,18108,13,Yoga,162,3,2334.7,,2330.0
213,18.3,Female,70.1,192.2,1711,12,Swimming,66,5,1179.7,Evening workout,1177.0
214,36.5,Male,53.9,184.6,8710,70,Cycling,101,5,2064.6,,2067.0
215,19.6,Female,108.4,163.3,14446,105,Running,89,9,3084.6,Good workout,3085.0
216,61.1,Male,116.5,151.1,14394,13,HIIT,133,9,2557.0,,2560.0
217,43.6,Female,64.8,178.9,1390,74,Walking,138,10,2191.6,,2189.0
218,49.9,Female,98.5,153.8,10262,21,Walking,65,5,1893.6,Good workout,1892.0
219,23.4,Male,74.8,175.1,5487,22,HIIT,83,5,1585.0,,1585.0
220,49.5,Male,97.6,161.1,11620,43,Running,125,6,2399.6,Good workout,2395.0
221,21.4,Female,107.0,151.3,14570,68,HIIT,99,8,2743.5,Low effort,2741.0
222,28.5,Male,55.2,166.6,7066,102,Walking,175,6,2533.3,,2529.0
223,34.3,Male,75.4,184.9,5494,82,Walking,74,6,2106.4,,2102.0
224,55.2,Male,93.4,159.3,4572,40,Walking,112,9,2084.1,,2089.0
225,41.8,Female,63.6,171.8,13670,80,HIIT,144,1,2382.6,Good workout,2386.0
226,22.6,Male,56.3,190.4,16939,22,Swimming,141,4,2185.6,Evening workout,2188.0
227,51.5,Male,59.1,192.4,17260,63,Cycling,64,10,2690.7,,2686.0
228,23.8,Male,75.5,170.7,11249,11,Yoga,148,10,2221.8,Good workout,2218.0
229,39.8,,87.5,164.5,3311,42,Cycling,95,2,1617.5,High intensity,1613.0
230,28.2,Male,81.1,184.2,12071,59,Cycling,133,9,2611.7,Evening workout,2609.0
231,33.5,Female,73.7,170.3,7773,16,Yoga,174,3,1809.2,Morning session,1813.0
232,50.7,Male,70.8,170.8,7905,27,Running,105,10,2071.7,,2074.0
233,26.4,Female,46.3,170.3,4642,60,Swimming,82,2,1555.1,High intensity,1554.0
234,23.7,Male,59.2,193.9,7338,17,HIIT,147,8,1932.4,Evening workout,1928.0
235,33.8,Male,48.2,181.5,17346,64,Cycling,104,4,2408.7,Morning session,2412.0
236,46.5,Female,94.8,154.6,19993,85,Swimming,69,2,2751.4,,2754.0
237,20.5,Female,82.8,188.3,10622,52,HIIT,113,4,2120.1,High intensity,2124.0
238,,Female,67.3,158.3,16655,68,HIIT,129,7,2720.2,Good workout,2721.0
239,53.5,Male,103.6,167.4,11105,39,Walking,136,7,2461.5,High intensity,2460.0
240,36.1,Male,119.4,170.5,7240,68,Walking,144,1,2265.2,Low effort,2266.0
241,43.2,Male,72.7,157.5,15797,18,Walking,91,1,1892.8,Morning session,1890.0
242,20.0,Male,110.4,193.4,8806,101,Running,102,3,2522.9,Evening workout,2520.0
243,36.9,Female,52.9,183.5,1757,77,Cycling,177,2,1888.1,,1893.0
244,37.8,Male,73.7,159.1,7220,48,Yoga,74,3,1751.6,,1753.0
245,49.2,Male,55.6,190.0,11104,90,Swimming,125,4,2431.2,,2428.0
246,24.8,Male,62.5,173.8,15316,20,Yoga,74,7,2040.8,,2042.0
247,58.2,Male,99.5,189.5,10326,11,Swimming,174,2,2019.9,Evening workout,2021.0
248,50.1,Male,94.3,173.1,9956,32,Running,140,7,2296.6,Morning session,2300.0
249,57.3,Male,58.3,181.0,4497,72,Yoga,79,5,1871.4,Low effort,1876.0
250,56.4,Male,118.4,182.5,10864,31,Swimming,109,8,2434.8,High intensity,2433.0
251,35.4,Female,53.7,187.4,9774,70,Running,65,8,2166.4,,2170.0
252,57.0,Male,55.0,193.5,15039,35,Running,138,5,2307.4,Evening workout,2305.0
253,18.1,Male,107.9,183.5,2821,21,Walking,76,10,1802.0,Good workout,1806.0
254,28.2,Male,111.7,160.6,18569,41,Cycling,179,8,2963.9,Evening workout,2965.0
255,45.7,Male,97.0,180.2,13717,18,Walking,85,9,2304.1,,2302.0
256,42.6,Female,83.1,167.8,19021,116,Running,81,7,3172.3,Evening workout,3173.0
257,40.0,Female,100.8,172.6,11372,78,HIIT,132,6,2632.6,Good workout,2633.0
258,48.6,Female,72.2,171.1,9380,99,HIIT,123,7,2600.5,,2603.0
259,47.7,Female,119.7,192.7,2746,80,Swimming,135,7,2417.1,Morning session,2417.0
260,59.7,Female,83.9,167.5,6797,102,HIIT,145,3,2496.7,,2493.0
261,52.6,Female,69.9,189.7,17283,42,Yoga,117,6,2515.1,,2512.0
262,24.5,Male,65.4,190.8,9089,33,Walking,146,6,2026.1,High intensity,2029.0
263,33.9,Female,54.3,188.2,13137,98,HIIT,96,9,2696.4,,2697.0
264,43.4,Female,87.3,169.1,8597,104,Swimming,137,1,2421.0,Low effort,2425.0
265,19.1,Male,59.2,162.6,7107,102,Cycling,147,7,2509.3,Morning session,2508.0
266,18.8,Female,92.3,194.4,3793,78,Swimming,131,1,1952.8,,1956.0
267,29.2,Male,65.6,150.6,12138,47,Cycling,149,10,2533.8,Good workout,2529.0
268,22.1,Male,104.9,153.3,3500,118,Running,155,4,2572.4,Good workout,2572.0
269,54.5,Female,94.6,173.4,14138,20,Running,87,7,2245.7,Morning session,2246.0
270,49.2,Male,67.7,185.5,9361,41,Running,155,6,2197.4,,2202.0
271,26.2,Female,57.4,185.2,5925,73,Cycling,145,6,2162.8,High intensity,2163.0
272,58.7,Female,113.4,194.6,18464,81,Running,108,5,3010.3,Good workout,3012.0
273,52.2,Male,48.4,151.5,5453,29,Yoga,132,7,1785.5,Morning session,1781.0
274,36.1,Male,116.6,177.5,19632,43,Yoga,126,9,3020.3,Evening workout,3020.0
275,33.0,Female,53.1,175.1,15779,51,HIIT,148,6,2472.1,Low effort,2471.0
276,20.5,Male,79.9,172.5,13100,17,Walking,162,10,2398.7,,2394.0
277,37.8,Male,65.8,164.9,16162,75,Swimming,135,7,2741.7,Evening workout,2745.0
278,41.5,Female,102.4,185.6,2325,30,HIIT,152,9,2033.0,Morning session,2028.0
279,50.3,Female,62.9,176.8,12369,88,Running,126,7,2654.6,,2653.0
280,41.1,Male,116.2,155.2,11340,79,Walking,100,6,2635.6,,2640.0
281,28.6,Female,87.5,184.5,14408,14,Yoga,105,3,1990.2,,1990.0
282,25.1,Female,50.9,188.5,19072,76,Swimming,146,1,2590.3,Evening workout,2595.0
283,53.6,Female,111.7,187.8,19460,116,Cycling,146,10,3713.6,Morning session,3709.0
284,55.4,Female,56.2,184.0,2461,52,Swimming,114,9,1941.2,Evening workout,1942.0
285,57.8,Female,56.2,185.1,10594,25,Swimming,141,7,2103.8,,2104.0
286,37.3,Female,110.1,159.0,1072,108,Cycling,70,3,2065.1,Morning session,2068.0
287,52.9,Female,46.5,179.8,7030,82,Running,159,10,2518.5,High intensity,2521.0
288,42.7,Male,59.5,190.3,8717,44,Running,85,9,2054.0,,2058.0
289,52.7,Female,67.6,187.5,14331,92,Swimming,131,3,2617.8,,2618.0
290,42.4,Male,73.7,178.6,14936,52,Running,151,3,2409.1,Low effort,2410.0
291,46.1,Male,51.5,192.4,19877,119,HIIT,141,7,3273.4,,3278.0
292,35.2,Male,72.8,188.2,4576,107,Yoga,72,2,2023.1,,2024.0
293,63.6,Female,58.8,153.4,9100,48,Walking,95,10,2254.7,,2257.0
294,35.5,Female,88.1,154.4,14612,19,Walking,165,7,2437.2,Morning session,2441.0
295,19.3,Male,74.6,153.1,6728,83,Running,163,7,2453.1,Morning session,2453.0
296,52.8,Female,76.9,185.2,1032,29,Yoga,167,1,1514.7,Good workout,1517.0
297,33.1,Male,114.4,194.7,11886,10,Walking,123,10,2407.8,Good workout,2405.0
298,58.7,Female,50.9,165.4,15078,15,Cycling,110,2,1851.3,High intensity,1855.0
299,53.9,Female,71.4,174.8,5373,62,Running,135,5,2066.8,High intensity,2067.0
300,50.6,Male,68.8,163.0,15468,55,Swimming,81,4,2288.6,Evening workout,2290.0
301,21.1,Male,78.8,160.0,14037,75,Walking,119,3,2451.6,Good workout,2450.0
302,50.5,Male,84.5,178.9,15461,47,Cycling,61,10,2565.6,Good workout,2564.0
303,31.5,Female,91.1,183.3,3392,42,Walking,115,8,1956.3,,1956.0
304,38.4,Male,119.3,171.5,12063,76,Swimming,99,7,2743.1,High intensity,2747.0
305,37.4,Female,68.4,163.8,18785,109,Walking,87,9,3111.3,Morning session,3116.0
306,25.7,Female,109.8,173.6,1817,86,Walking,136,3,2147.1,,2146.0
307,24.6,Female,62.2,188.6,7203,44,Walking,156,10,2246.2,Evening workout,2245.0
308,20.6,Male,88.1,175.2,3438,88,Cycling,62,1,1794.1,,1792.0
309,34.1,Male,101.1,192.5,18594,54,Swimming,122,9,2959.4,Good workout,2960.0
310,50.3,Male,72.0,185.6,7641,31,Swimming,157,9,2211.7,Morning session,2208.0
311,29.7,Female,115.8,188.2,17983,116,Yoga,82,1,2961.0,,2961.0
312,39.6,Female,67.6,165.6,15026,77,Cycling,114,8,2772.8,,2770.0
