User_ID,Age,Gender,Body_Mass,Height,Steps,Workout_Minutes,Exercise_Type,Avg_Heart_Rate,Intensity_Score,Calories
47,26,0,52,151,2295,112,3,178,1,2057
48,43,0,115,175,2413,37,1,84,6,1856
49,19,1,95,163,7956,58,4,123,4,1981
50,37,1,79,187,12187,103,5,163,8,3300
51,45,1,118,183,8278,79,2,72,1,1628
52,64,0,58,157,8668,93,4,127,9,3176
53,24,1,60,185,10195,110,5,129,6,2866
54,61,1,118,170,2177,92,2,134,2,1850
55,25,1,115,195,10937,119,3,60,8,3145
56,64,1,80,192,6354,75,3,131,5,2243
57,52,1,82,177,10843,99,2,113,5,2610
58,31,1,88,195,7914,69,4,157,5,2332
59,34,1,95,193,7482,85,2,163,7,2802
60,53,0,86,197,14081,114,1,175,7,3481
61,57,0,109,155,5271,99,2,68,7,2684
62,21,0,80,169,8687,64,3,95,2,1768
63,19,1,60,180,12674,118,3,172,8,3474
64,23,1,51,182,7392,26,3,162,1,1252
65,59,0,76,193,2289,93,1,165,2,2007
66,21,1,51,156,10994,29,5,96,7,2128
67,46,0,70,157,12722,31,1,165,4,2097
68,35,1,107,158,10425,48,5,118,9,2729
69,43,1,54,151,2407,49,1,167,9,2501
70,61,0,101,166,2693,53,0,80,3,1548
71,51,0,94,194,3169,116,5,79,3,2185
72,27,0,69,186,14849,92,4,161,9,3528
73,53,0,110,191,12669,69,4,60,8,2808
74,31,0,87,193,10623,73,3,158,1,1982
75,48,1,69,166,9782,19,1,118,6,1917
76,32,1,74,187,12736,44,2,87,7,2348
77,25,1,51,184,11174,18,3,130,8,2277
78,31,0,81,196,13352,29,2,166,2,1819
79,40,0,75,188,5044,117,1,115,1,2056
80,57,0,119,179,7530,49,3,167,4,2134
81,38,0,90,155,6992,88,3,68,1,1721
82,33,0,116,153,5924,69,4,124,2,1837
83,62,0,50,186,8970,80,2,95,3,2053
84,35,1,100,184,5312,74,0,157,4,2143
85,64,1,54,158,6318,38,0,93,6,1875
86,41,1,62,155,3688,106,3,140,8,2901
87,43,1,68,162,2467,36,1,176,9,2417
88,42,1,61,171,12808,21,3,91,4,2038
89,62,0,97,177,11537,46,4,125,1,1662
90,58,0,74,179,4422,109,2,159,5,2681
91,46,0,106,185,9279,97,3,84,5,2570
92,32,0,84,151,6507,65,1,166,9,2958
93,62,0,54,185,6721,99,0,110,6,2652
94,18,0,97,157,7371,17,2,122,5,1765
95,42,1,106,194,11203,84,3,179,5,2702
96,24,0,96,191,9541,46,2,149,8,2703
97,26,0,103,199,11869,16,4,104,1,1319
98,41,0,52,158,13889,102,0,177,5,3018
99,18,0,102,150,14258,73,1,85,1,1927
100,61,1,80,162,12084,105,2,80,7,2919
101,25,1,118,199,13061,87,0,141,7,3006
102,41,0,82,164,14542,91,3,152,8,3345
103,28,1,99,181,3486,28,1,110,7,1917
104,34,1,65,183,13531,65,1,83,9,2868
105,25,0,88,192,11608,25,5,170,8,2629
106,52,0,95,180,13038,92,2,151,8,3308
107,52,0,96,163,11549,94,0,71,3,2279
108,50,0,93,196,14252,24,2,70,4,1831
109,22,0,58,163,14852,98,3,86,4,2601
110,59,1,99,197,11583,94,3,82,1,1917
111,56,0,109,178,11770,72,1,92,6,2596
112,58,0,64,196,5749,48,1,139,2,1602
113,45,0,85,168,13817,94,0,151,9,3497
114,24,1,112,176,10059,92,4,151,1,2059
115,26,0,118,158,4503,67,2,168,1,1745
116,25,0,90,186,9855,42,2,97,6,2213
117,29,0,73,186,13329,32,3,114,1,1532
118,51,1,98,192,9055,40,2,129,3,1716
119,50,0,67,177,13101,116,0,101,2,2467
120,40,0,56,173,12856,21,5,88,9,2505
121,41,0,53,177,2399,59,1,93,5,1877
122,54,1,118,185,6382,112,3,116,6,2764
123,52,0,109,167,14149,59,1,62,2,1871
124,61,0,104,174,12425,85,1,65,8,2966
125,57,0,65,184,3539,111,1,107,6,2650
126,39,1,78,153,10428,49,5,161,8,2683
127,44,0,72,163,9185,66,2,123,8,2782
128,52,0,63,188,6910,117,4,179,1,2308
129,18,0,98,175,11119,35,1,72,7,2277
130,52,1,82,157,6509,42,0,95,2,1363
131,54,1,74,173,8051,110,1,138,8,3124
132,64,0,70,165,8152,58,1,129,2,1777
133,31,1,66,169,10611,94,2,92,4,2319
134,20,1,72,164,6124,70,0,164,2,1822
135,18,1,106,156,4395,24,2,135,7,1997
136,22,0,107,166,10852,37,1,116,5,2130
137,43,0,63,171,12815,62,2,114,9,2999
138,31,1,69,171,5950,66,2,166,5,2228
139,56,1,79,161,2449,29,3,72,8,1897
140,44,1,68,167,2379,69,5,156,2,1634
141,26,0,102,195,11442,57,4,110,3,2029
142,32,0,105,196,9285,64,5,151,6,2590
143,32,1,72,164,12651,20,5,112,7,2178
144,43,1,111,186,13190,47,0,95,8,2615
145,59,1,82,165,14643,76,3,64,3,2085
146,30,1,67,154,4301,69,3,178,7,2526
147,49,0,82,151,9710,53,2,84,8,2568
148,56,1,81,177,7792,26,5,140,6,1988
149,49,0,110,190,10918,114,4,96,4,2696
150,21,1,103,176,11659,45,0,78,6,2173
151,47,1,66,180,12920,88,3,94,9,3107
152,54,1,68,190,13344,67,2,166,3,2232
153,40,1,119,185,9216,48,4,93,2,1569
154,56,1,83,196,13712,55,5,113,5,2286
155,62,0,74,192,6905,24,4,105,7,2069
156,32,1,117,150,7999,66,3,65,3,1764
157,60,1,60,199,13546,89,0,142,5,2679
158,46,1,65,178,2201,71,5,60,4,2423
159,53,0,110,150,9122,92,0,130,7,2956
160,30,0,56,157,2599,17,1,93,2,1019
161,49,0,65,165,9288,71,4,115,7,2654
162,24,0,65,177,13266,47,4,142,2,1904
163,39,1,89,171,14366,21,2,156,6,1808
164,45,1,61,167,9921,18,5,85,5,1654
165,19,1,84,171,3567,53,4,164,7,2314
166,59,0,70,190,3094,62,3,176,6,2355
167,62,1,99,161,13135,88,1,172,7,3089
168,23,1,92,168,14345,93,3,101,6,2816
169,45,0,66,174,11639,30,0,150,1,1544
170,45,0,81,199,11684,52,1,97,5,2225
171,61,0,90,154,12863,18,1,85,1,1307
172,61,1,55,183,8191,18,3,158,7,2097
173,37,1,76,188,3458,114,4,118,4,2323
174,47,0,69,159,11400,41,3,143,5,2227
175,28,1,74,196,10046,100,5,83,1,1888
176,45,0,115,156,6934,100,0,170,8,3225
177,42,0,58,186,12404,31,1,80,4,1815
178,56,1,102,196,3354,112,5,119,3,2183
179,50,0,110,164,8473,110,4,177,1,2351
180,18,0,87,191,10404,84,4,149,4,2507
181,44,0,52,173,5894,68,3,79,3,1764
182,30,1,119,175,14794,111,2,65,8,3238
183,58,0,104,175,10032,22,1,126,6,2573
184,20,0,50,195,4963,67,1,69,5,1985
185,56,0,119,175,13040,114,2,71,9,3466
186,23,0,94,159,5042,19,4,156,1,1221
187,25,0,96,166,8973,83,4,81,7,2696
188,44,0,75,163,9139,61,1,121,7,2578
189,26,0,63,151,13226,88,0,120,6,2844
190,54,1,103,197,8930,54,1,139,4,2037
191,50,1,95,162,3732,21,4,76,9,2051
192,59,0,80,176,9870,26,4,69,3,1507
193,64,1,108,158,7340,108,0,71,1,2423
194,41,1,78,156,7111,39,5,142,2,1493
195,32,0,66,197,5081,42,5,99,3,1549
196,49,1,63,159,9802,57,0,82,2,1583
197,49,0,85,158,11462,91,0,99,6,2767
198,41,0,107,171,9527,61,5,133,7,2668
199,58,0,73,172,6868,63,5,133,5,2240
200,29,0,112,156,3529,100,5,109,5,2452
201,56,0,74,197,3081,21,5,69,7,2248
202,19,0,108,158,9994,32,1,162,6,2234
203,20,0,81,176,5531,41,1,153,8,2487
204,54,1,67,173,11343,86,3,63,9,2932
205,34,0,86,178,11914,20,0,60,2,1359
206,19,0,75,166,2716,89,2,102,2,1794
207,19,0,58,169,8229,107,3,142,1,2144
208,45,1,113,156,14391,119,2,64,7,3142
209,40,0,69,192,12382,83,2,153,4,2566
210,54,0,103,189,2204,85,4,149,9,2958
211,49,0,79,156,8784,36,0,163,6,2294
212,50,0,102,177,14021,73,1,93,7,2841
213,18,1,112,168,13301,61,3,125,7,2701
214,36,0,60,169,6094,82,0,83,8,2684
215,19,1,80,193,7482,46,5,73,4,1674
216,61,0,98,188,7740,97,0,100,3,2246
217,43,1,68,189,11524,111,2,101,3,2404
218,49,1,61,156,9219,15,1,72,8,2007
219,64,0,64,155,12240,68,5,88,3,2059
220,49,0,80,174,8154,60,0,124,8,2694
221,21,1,92,190,12041,55,0,105,2,1756
222,28,0,86,162,6842,21,4,93,5,2055
223,34,0,78,188,10103,22,2,122,5,1933
224,55,0,75,189,11429,46,5,63,7,2346
225,41,1,51,171,4018,44,2,87,5,1672
226,22,0,64,198,7051,60,1,142,9,2834
227,51,0,53,166,10709,106,0,60,3,2281
228,23,0,99,197,9835,119,3,95,9,3436
229,39,1,87,171,3438,66,3,166,1,1549
230,28,0,72,183,6086,110,4,72,3,2195
231,33,1,108,157,7127,103,3,173,4,2563
232,50,0,77,198,4052,112,1,165,6,2869
233,26,1,115,194,9529,75,1,64,8,2661
234,23,0,57,167,9147,111,1,156,7,3161
235,33,0,78,173,6368,27,5,73,8,2136
236,46,1,60,191,6517,103,4,139,6,2679
237,20,1,67,151,4312,54,5,179,6,2229
238,37,1,104,151,7577,117,3,91,6,2770
239,53,0,99,176,12451,75,3,109,3,2243
240,36,0,63,163,13341,58,0,86,4,2146
241,43,0,58,197,2201,76,5,94,6,2549
242,20,0,60,188,12905,58,2,62,7,2504
243,36,1,112,161,3244,62,0,63,3,1522
244,37,0,116,181,4416,88,5,66,4,2093
245,49,0,102,177,8490,73,1,136,6,2599
246,24,0,88,177,8168,71,4,164,1,1883
247,58,0,105,195,11167,109,5,62,7,2998
248,50,0,77,174,13683,25,4,140,1,1559
249,57,0,88,153,13617,39,4,170,9,2999
250,56,0,74,175,7839,75,3,118,9,2955
251,35,1,70,185,10608,60,2,133,9,2857
252,57,0,59,199,10406,68,5,170,4,2376
253,18,0,92,152,14170,48,2,60,2,1736
254,28,0,64,150,11327,98,4,87,7,2920
255,45,0,97,166,9097,21,3,118,4,1743
256,42,1,70,156,13967,111,2,177,5,3033
257,40,1,109,197,7009,76,0,112,1,1656
258,48,1,99,154,3582,71,4,69,6,2078
259,47,1,72,168,14715,113,0,130,7,3244
260,59,1,62,188,10924,107,1,162,3,2516
261,52,1,118,195,12938,90,2,62,2,2044
262,24,0,53,183,9876,19,2,66,7,1996
263,33,1,58,184,12455,90,2,68,1,1821
264,43,1,84,198,14700,107,1,163,2,2547
265,19,0,70,165,13996,49,5,158,3,2157
266,18,1,107,189,4427,98,4,149,4,2332
267,29,0,67,199,7721,51,4,128,5,2132
268,22,0,92,196,10423,74,4,72,4,2182
269,54,1,55,188,6930,79,5,168,3,2087
270,49,0,116,176,6353,30,2,153,1,1402
271,26,1,61,190,9832,44,2,99,7,2253
272,58,1,61,187,7375,87,1,173,6,2657
273,52,0,115,199,2402,56,0,121,2,2423
274,36,0,51,199,8567,75,5,121,2,1916
275,33,1,64,174,6865,88,3,162,3,2166
276,20,0,72,175,10146,91,5,69,8,2908
277,37,0,78,163,2064,62,1,165,8,2590
278,41,1,56,163,4237,76,0,146,8,2634
279,50,1,77,163,9770,98,0,70,7,2722
280,41,0,63,174,11141,107,0,135,2,2395
281,28,1,93,185,2172,78,2,121,1,1490
282,25,1,79,153,9935,71,4,136,6,2509
283,53,1,81,196,4675,82,0,163,8,2793
284,55,1,119,164,11442,60,4,172,1,1865
285,57,1,55,181,13240,42,2,115,3,1810
286,37,1,76,167,6005,115,3,169,1,2138
287,52,1,73,163,8544,91,4,108,9,3012
288,42,0,83,150,10829,17,3,174,7,2374
289,52,0,89,191,2948,51,1,75,8,2158
290,42,0,96,169,12452,62,3,132,9,3079
291,46,0,73,159,3694,33,4,175,3,1639
292,35,0,114,159,6757,106,5,133,2,2265
293,63,1,67,173,8282,97,3,152,6,2737
294,35,1,93,183,2142,31,5,68,6,2423
295,19,0,106,177,8001,96,3,92,4,2383
296,52,1,77,176,8652,96,1,147,6,2739
297,33,0,72,189,6581,101,4,94,6,2641
298,58,1,83,150,7087,54,3,134,3,1774
299,53,1,60,182,3460,64,0,98,2,1444
300,50,0,84,153,5887,87,1,173,9,3174
301,21,0,91,156,10484,43,0,136,8,2666
302,50,0,77,158,11835,65,1,178,4,2449
303,31,1,73,165,12910,56,1,146,6,2501
304,38,0,57,154,2837,43,3,84,3,1413
305,37,1,102,183,11229,80,4,173,8,3090
306,25,1,53,172,7846,31,4,139,3,1553
307,24,1,54,192,10463,45,2,115,2,1577
308,20,0,98,199,12150,106,4,107,7,3134
309,34,0,79,174,4369,66,5,144,3,1910
310,50,0,112,162,10997,53,3,69,9,2760
311,64,1,96,173,5174,21,0,100,3,1811
312,39,1,75,160,7985,108,4,163,8,3178
313,39,0,106,166,2882,113,0,142,2,2198
314,63,1,86,186,11023,65,2,158,9,3017
315,47,1,56,162,5171,98,3,118,1,1757
316,55,0,89,176,12383,30,4,87,3,1712
317,55,0,88,169,4040,112,0,179,2,2323
318,62,0,111,182,8732,28,1,100,7,2212
319,25,1,102,191,11786,104,4,125,5,2758
320,44,1,53,181,8372,98,2,110,8,2907
321,44,1,74,157,11818,56,1,121,2,1783
322,51,1,56,178,7985,65,0,89,8,2503
323,38,1,77,189,9562,38,0,99,7,2201
324,47,0,118,168,13776,96,3,173,5,3021
325,50,1,116,155,7900,57,3,99,2,1622
326,45,1,69,193,9965,87,0,128,7,2784
327,64,1,60,188,7316,33,1,161,4,1777
328,50,0,116,197,10465,98,3,121,4,2600
329,22,0,56,190,2589,75,0,165,8,2715
330,36,0,72,170,12892,108,1,74,6,2903
331,21,1,110,171,10774,77,5,159,9,3159
332,52,0,83,191,7063,40,4,62,2,1367
333,34,0,68,159,5633,109,5,83,5,2495
334,61,0,107,159,3990,49,5,100,6,2077
335,45,1,58,178,2201,81,4,122,8,2785
336,47,0,97,165,3258,70,0,107,4,1967
337,46,1,90,150,4866,54,0,120,7,2252
338,63,1,97,166,5738,43,3,107,7,2146
339,23,0,94,179,2571,20,2,106,4,1432
340,52,1,74,175,10736,66,0,115,1,1672
341,58,0,74,195,6222,15,4,164,3,1528
342,54,1,68,168,14704,66,2,172,2,2145
343,41,0,88,170,2637,38,4,176,3,1668
344,46,0,76,166,10232,116,4,135,5,2915
345,63,0,112,195,6882,48,4,178,1,1673
346,48,1,117,189,6392,21,2,67,5,2423
347,52,0,68,170,11812,89,5,137,2,2254
348,50,1,77,190,5672,25,4,177,4,1399
349,38,0,82,189,14329,50,4,167,6,2672
350,49,1,59,194,14320,34,3,169,9,2839
351,40,1,79,198,11491,77,0,143,6,2652
352,50,0,71,168,9257,94,1,82,2,2041
353,20,0,52,156,6711,77,0,128,8,2784
354,35,0,97,166,7643,83,0,124,5,2473
355,42,0,51,150,2159,102,2,168,9,3121
356,59,0,103,186,12144,44,3,105,9,2813
357,48,1,55,155,11923,44,3,125,4,1957
358,20,0,89,175,12638,117,1,139,1,2448
359,57,0,51,151,7938,115,3,128,9,3362
360,63,1,51,181,13354,111,3,81,9,3298
361,41,0,104,197,11924,98,3,124,8,3252
362,49,0,109,154,2580,36,1,71,5,1656
363,64,1,55,186,10411,119,5,78,5,2656
364,39,0,68,180,9586,75,3,177,6,2745
365,40,0,76,161,6474,35,3,81,1,1192
366,19,0,50,184,11941,51,2,114,9,2839
367,44,1,82,179,9073,41,2,165,5,2115
368,59,0,89,197,11662,116,3,167,7,3383
369,19,1,81,155,7059,49,5,121,8,2432
370,43,0,118,164,6328,52,3,110,5,2094
371,34,1,66,164,3394,118,3,107,3,2165
372,57,0,57,165,2921,74,3,76,6,2152
373,50,1,106,169,4773,84,4,72,7,2423
374,26,1,91,162,6462,46,5,162,4,1913
375,60,1,58,193,6576,94,0,87,9,2883
376,56,1,84,191,5434,106,3,126,4,2355
377,46,1,102,195,8733,94,0,64,2,1903
378,59,1,103,180,13774,41,5,159,9,2910
379,43,0,74,183,11310,17,3,119,4,1767
380,52,0,116,178,3865,63,0,74,4,1845
381,42,0,111,152,14503,99,1,140,1,2273
382,41,1,104,158,2724,116,0,103,2,2001
383,30,1,95,160,2201,21,5,178,3,2366
384,24,1,73,160,9710,44,3,105,7,2280
385,53,0,95,174,12017,36,4,88,9,2668
386,62,0,71,171,14118,33,5,127,6,2110
387,37,0,60,191,7080,45,4,155,4,1970
388,18,0,97,195,2390,34,3,108,2,1275
389,25,1,57,158,11262,33,0,102,7,2204
390,63,1,88,169,6487,16,1,161,6,1907
391,33,0,84,170,12957,54,1,127,7,2689
392,31,0,98,159,14672,53,5,136,8,2941
393,29,1,95,171,12620,105,5,79,9,3255
394,40,1,87,178,10116,86,5,170,5,2628
395,32,1,57,158,8747,68,2,77,5,2078
396,45,0,103,154,8066,41,1,123,4,1924
397,51,0,86,189,6494,93,1,108,3,2166
398,19,1,89,160,12339,26,3,174,7,2431
399,49,0,83,150,5572,92,2,101,5,2394
400,40,0,66,191,14670,85,5,160,7,3145
401,39,1,82,150,12946,31,5,71,2,1438
402,42,1,96,188,13455,104,4,148,9,3487
403,39,0,101,195,14017,115,2,153,9,3740
404,39,0,58,154,9769,98,0,138,9,3303
405,59,1,82,198,13608,24,1,178,5,2166
406,23,1,109,171,12249,33,3,95,9,2584
407,32,1,70,175,4311,96,0,177,1,1567
408,60,1,107,155,13071,44,0,87,2,1651
409,54,1,118,181,8773,44,3,175,5,2206
410,50,0,59,197,8905,39,5,145,5,2101
411,25,0,55,160,5642,102,1,119,6,2668
412,61,0,62,159,8338,88,4,108,8,2911
413,61,0,114,196,4609,80,5,97,1,1661
414,22,1,69,188,11622,116,5,139,9,3473
415,56,1,106,183,12105,110,2,117,4,2662
416,21,1,95,180,8240,49,0,64,8,2325
417,23,0,57,161,9806,65,0,105,5,2275
418,62,0,59,193,2757,115,1,157,1,2051
419,49,0,116,165,12326,85,0,172,9,3448
420,47,1,60,187,7086,85,4,161,8,2888
421,64,0,61,152,8220,41,4,134,5,2063
422,52,1,59,151,12104,24,4,61,4,1577
423,57,1,74,154,11931,111,3,148,8,3319
424,33,1,98,160,7602,57,1,84,9,2593
425,30,1,98,174,13409,69,4,60,7,2573
426,59,1,60,184,14948,85,2,154,4,2581
427,47,1,111,184,11326,20,2,128,7,2220
428,36,0,85,171,8121,20,5,99,6,1923
429,34,1,88,186,13904,91,5,127,3,2402
430,36,1,102,171,10956,62,1,174,3,2152
431,45,0,105,160,4725,91,5,128,1,1859
432,43,1,50,181,5368,16,5,128,5,1568
433,54,0,105,184,5497,97,2,179,8,3152
434,43,0,53,180,10174,65,5,75,6,2344
435,40,0,79,194,11864,75,2,113,8,2957
436,26,1,61,157,13597,33,4,122,7,2362
437,29,1,84,169,7642,116,4,77,2,2096
438,18,0,101,191,10774,16,1,166,8,2509
439,18,1,80,183,2201,21,3,76,4,1844
440,64,1,117,153,6633,40,5,158,5,2029
441,51,0,101,167,3821,84,4,141,8,2836
442,49,0,56,153,3185,34,4,63,5,1573
443,42,1,71,169,14717,37,1,174,5,2315
444,57,0,105,158,3637,68,0,154,6,2413
445,62,0,107,165,9236,29,0,154,7,2399
446,18,0,113,175,12372,20,1,68,9,2483
447,33,1,61,187,10380,106,2,90,7,2868
448,56,1,56,174,3746,49,3,64,6,1798
449,22,1,104,153,14018,89,1,159,4,2651
450,39,0,111,190,7797,22,0,75,2,1289
451,46,1,104,194,10089,71,3,101,9,2890
452,20,0,85,190,4620,64,4,100,5,2076
453,29,1,73,187,14137,63,1,139,5,2449
454,43,1,93,168,12518,102,2,143,3,2510
455,33,0,66,163,9597,35,3,177,3,1893
456,54,1,51,170,10002,50,0,89,1,1378
457,39,0,62,164,8107,85,4,85,5,2353
458,46,1,80,152,11376,83,1,108,3,2155
459,31,1,77,186,4793,72,5,90,2,1573
460,45,0,109,199,13138,77,4,109,9,3202
461,22,0,76,195,4500,107,0,74,6,2563
462,64,0,64,165,10361,30,1,111,3,1673
463,47,1,82,163,6925,20,0,164,7,2117
464,63,1,69,158,12937,92,5,97,9,3160
465,22,1,91,196,3080,66,4,97,9,2533
466,29,0,61,156,11455,16,3,166,1,1439
467,33,0,72,163,6864,103,3,119,2,2147
468,43,0,63,155,6453,109,4,79,8,2960
469,43,1,74,170,4248,91,3,158,1,1791
470,38,1,80,164,14100,32,1,146,3,1868
471,56,0,103,157,3325,95,4,103,7,2665
472,53,1,54,183,13369,106,4,170,8,3368
473,50,0,62,189,5873,90,0,162,5,2544
474,47,1,77,150,12340,49,2,148,2,1819
475,54,1,92,181,3688,100,0,122,3,2073
476,40,0,96,198,4985,53,3,177,9,2825
477,27,1,87,154,4076,15,2,109,7,1794
478,22,1,116,179,11721,51,4,81,1,1510
479,53,0,111,171,3461,35,3,170,3,1681
480,51,0,88,169,11594,15,5,131,9,2561
481,48,1,86,165,2072,18,3,113,7,1754
482,27,0,57,156,14541,110,2,68,2,2353
483,36,1,101,156,14226,72,2,74,6,2532
484,49,0,82,199,8030,15,4,107,9,2340
485,18,1,91,199,6611,27,1,79,4,1480
486,22,1,76,151,4796,60,5,94,2,1464
487,62,0,57,196,9717,61,4,160,3,2096
488,21,1,72,163,6516,95,5,126,7,2724
489,33,1,113,180,4493,90,5,119,4,2171
490,41,0,69,199,6231,21,4,157,7,2162
491,33,0,65,190,5576,65,3,93,5,2080
492,19,1,66,163,10100,17,0,159,8,2330
493,45,0,68,154,7728,64,5,158,8,2804
494,49,0,57,160,2032,40,2,132,5,1795
495,44,1,87,189,12886,45,4,153,7,2578
496,37,1,87,154,6373,114,1,178,6,2932
497,41,0,102,178,5598,76,3,113,8,2744
498,29,0,80,160,4392,40,5,149,9,2568
499,52,0,93,154,14304,81,1,71,5,2556
500,50,1,109,198,13063,69,3,147,7,2833
501,50,1,66,181,8705,42,4,164,1,1489
502,60,1,88,185,8790,58,1,78,8,2470
503,54,1,91,164,4677,95,2,167,3,2197
504,29,1,97,168,3401,52,5,139,1,1339
505,20,1,61,171,2817,44,5,85,6,1780
506,18,1,67,183,8203,80,1,82,8,2654
507,50,0,55,166,11852,22,3,92,3,1586
508,57,0,92,161,6562,28,4,165,1,1397
509,27,1,84,174,6723,115,0,116,3,2316
510,60,1,103,166,4438,113,5,89,5,2447
511,61,1,111,159,13175,117,2,82,8,3276
512,46,0,118,177,8828,76,5,133,9,3103
513,30,1,65,167,3210,89,5,95,9,2731
514,29,0,57,167,8641,77,0,154,4,2345
515,48,0,80,194,2599,93,0,166,8,2927
516,63,0,59,181,7480,80,4,145,5,2454
517,19,0,105,163,3846,115,5,102,3,2285
518,52,0,119,165,12047,110,5,166,5,3071
519,40,1,69,199,8592,54,3,177,2,1796
520,34,1,54,167,9861,27,3,161,6,2111
521,43,0,72,165,3887,31,1,170,1,1311
522,25,1,58,166,2679,29,1,125,6,1741
523,46,0,107,156,5252,47,2,112,5,1994
524,43,0,108,161,3835,30,2,146,9,2470
525,27,1,103,183,14222,27,3,177,7,2542
526,43,1,95,159,4177,100,1,158,6,2655
527,51,1,71,154,10142,37,2,119,7,2267
528,58,1,113,170,2148,50,5,96,5,1758
529,24,1,57,152,3495,57,1,120,1,1287
530,21,0,69,168,3744,64,4,155,9,2786
531,62,1,100,194,3646,88,1,179,5,2432
532,28,1,88,193,4995,95,5,166,4,2352
533,46,1,86,184,8643,21,3,112,6,2764
534,53,0,99,155,11864,27,4,71,5,1925
535,42,1,83,163,12131,44,4,94,1,1456
536,38,0,82,153,9378,71,3,164,2,2075
537,53,1,80,194,10849,44,5,126,4,1947
538,27,1,103,167,5667,85,2,157,8,2870
539,54,0,93,178,11245,24,1,97,5,1941
540,26,1,83,184,14263,113,1,83,7,3098
541,41,1,111,187,2576,80,2,161,2,1819
542,52,0,72,165,13287,108,4,140,8,3417
543,52,1,95,169,13223,97,3,99,5,2659
544,53,0,105,173,6779,53,3,124,4,1999
545,35,0,56,184,10187,51,0,116,9,2782
546,56,0,110,193,4972,17,4,131,6,1893
547,49,0,52,168,9756,103,3,177,4,2713
548,41,0,87,153,5948,48,0,138,8,2535
549,40,1,83,182,8544,100,2,173,3,2409
550,64,1,93,151,4045,52,4,104,2,1404
551,54,0,79,162,14128,28,4,148,7,2423
552,29,0,66,194,13140,78,3,131,4,2477
553,30,0,108,179,3627,53,3,175,4,2029
554,40,0,59,183,3488,68,5,155,9,2804
555,42,0,67,179,14337,16,2,173,2,1732
556,52,1,94,173,14390,110,2,72,1,2153
557,58,1,108,197,14655,57,1,169,7,2842
558,47,0,97,193,11127,21,0,177,8,2962
559,34,0,108,182,5563,17,0,65,3,1266
560,37,1,98,190,13821,55,5,156,2,1987
561,42,0,112,198,11906,22,1,130,4,1920
562,39,0,81,159,3802,104,2,156,2,2157
563,30,0,59,167,11612,110,0,106,2,2352
564,36,1,60,168,5591,89,2,152,5,2391
565,53,1,119,156,5520,77,2,161,5,2365
566,29,0,111,168,7896,79,1,160,8,3018
567,58,1,96,173,9643,93,0,103,9,3089
568,36,0,83,164,9041,18,3,91,2,1313
569,29,0,66,190,5311,82,3,62,1,1547
570,26,1,103,191,4305,106,1,113,3,2144
571,64,0,89,172,9875,24,0,143,6,2170
572,45,0,68,153,12187,89,5,137,5,2719
573,31,1,116,187,3967,64,4,151,8,2590
574,48,0,102,153,10009,37,1,97,8,2483
575,36,0,113,154,13906,75,2,63,2,2030
576,64,0,96,190,14227,61,1,138,9,3158
577,33,1,55,193,14677,17,4,76,4,1651
